x [Mpc],y [Mpc],z [Mpc],vx [km/s],vy [km/s],vz [km/s]
4.9534,7.9346,1.2108,-10.907,-98.353,-56.38
4.0299,6.7649,0.38223,123,-101.48,-60.647
4.0971,6.7474,0.40819,130.33,-176.63,-7.4054
4.1394,6.6257,0.42627,132.01,-169.09,-66.15
4.2821,6.8157,1.2709,43.795,-78.605,-95.788
5.2643,7.6286,0.55337,1.8115,-99.313,-54.634
6.6028,7.7547,1.2069,-134.39,-6.0051,-48.466
6.0173,7.2595,0.42926,-142.2,-20.431,-85.131
6.5329,6.9975,3.0285,-109.48,-26.59,-3.8431
7.6786,7.8375,3.5374,-94.423,11.996,13.418
6.4127,6.5299,4.9057,-119.5,-36.18,31.652
7.7278,7.8207,7.9062,-138.14,-22.26,58.241
7.0329,7.9942,7.764,-111.04,-28.06,90.636
6.643,7.5355,7.4515,-121.38,9.6219,86.44
6.347,6.7478,6.0123,-125.87,-24.844,43.142
7.5915,6.2653,7.9032,-145.38,33.908,64.047
7.5452,6.3215,7.9147,-102.88,-12.022,-23.359
7.5386,5.5611,6.1703,-116.05,-30.215,38.921
7.745,5.5987,6.7988,-113.45,-22.091,24.727
6.1195,5.3657,7.3433,-142.3,-21.541,16.898
6.4904,4.2118,7.2273,-117.95,-38.259,-22.39
7.1386,4.2297,7.24,-136.17,-71.038,-53.63
7.1242,4.2011,7.3057,-135.5,-9.5577,38.351
7.2095,5.6633,4.7602,-126.13,-39.066,21.438
5.0343,5.0718,4.6739,19.28,-45.487,35.325
4.2927,5.0943,5.4403,-142.85,-80.804,16.624
4.8859,5.4174,4.8419,87.893,-27.849,45.072
4.4797,4.8313,4.6189,1.8318,-80.758,60.62
4.9688,4.2463,4.7538,-156.61,-130.9,13.307
4.1124,4.7775,5.0945,-67.612,1.0037,-11.427
4.0555,4.8269,5.1049,-30.37,-159.57,75.533
4.0757,4.8708,5.0926,-135.52,-83.488,28.173
4.8766,4.3455,5.6824,-157.67,-96.898,3.2592
4.5564,4.8121,6.0562,116.45,30.251,32.897
4.878,4.9866,6.8091,-148.26,-36.226,-9.6898
4.9925,4.9198,6.7038,33.551,48.401,28.999
4.6393,4.026,7.4698,-10.14,38.669,-25.598
5.0563,4.284,6.9748,-129.49,-20.705,-38.82
5.2792,4.5384,6.3171,-161.78,-62.738,0.78515
4.2871,5.6092,7.6635,-70.683,157.13,23.701
4.3198,6.0032,7.7881,-90.046,168.06,45.332
4.1216,5.8563,7.007,-75.094,72.378,118.75
4.3166,6.2111,6.3467,-63.901,55.245,94.647
4.3416,6.2934,6.372,-39.356,56.35,90.485
4.0796,6.5412,6.3976,22.215,39.297,68.152
4.8491,6.1049,6.751,-178.35,-27.127,57.43
4.1379,6.0603,7.8754,129.79,-85.326,5.9674
4.0304,6.425,7.8056,-90.027,329.06,120.51
4.0624,6.3236,7.7475,-56.075,279.51,160.21
4.1427,6.4077,7.6197,-27.048,-58.868,-16.797
4.1171,6.6726,7.8015,-192.89,76.021,42.687
4.154,6.6915,7.8275,-116.9,0.62198,68.861
4.6346,7.3568,7.8209,-135.63,-190.18,-17.821
4.5438,7.4176,7.9727,-105.71,-166.14,109.4
5.449,7.8954,5.6844,-120.24,-27.329,43.13
4.3426,7.0086,4.7285,8.6303,-57.713,148.41
4.4123,7.4489,4.6051,-118.38,-52.744,46.54
4.3293,7.8511,4.5727,-35.937,-109.56,42.148
3.7667,7.8557,4.4124,70.175,-104.6,87.883
3.4266,7.1758,4.4091,54.781,-96.4,87.325
3.4189,7.0602,4.6891,118.56,-65.216,157.43
3.4156,7.1118,4.6448,3.2176,-86.844,34.991
3.4805,7.2341,4.5292,69.54,-166.16,127.96
2.9797,7.816,4.7855,69.705,-104.77,60.338
3.4081,6.5539,4.2402,-48.438,-41.306,121.72
3.5685,6.8855,4.8252,20.138,-177.33,214.23
3.5611,6.8862,4.7577,97.92,-146.59,102.78
3.6715,6.7854,4.9153,142.94,-83.775,69.149
3.6455,6.8093,4.9245,-141.1,19.469,68.879
3.6584,6.8198,4.9504,-22.501,33.392,266.98
3.6358,6.8161,4.9944,99.088,-4.2343,90.255
3.6842,6.7602,4.9952,-40.468,16.838,176.85
3.6992,6.8023,5.0014,3.7073,-114.83,46.071
3.7919,6.7685,4.8748,55.304,102.05,148.71
3.6464,6.6741,4.795,-76.314,-101.88,135.57
3.9235,6.3229,4.937,-11.914,-99.343,121.56
3.6615,6.6807,5.1085,-103.49,29.09,88.465
3.6691,6.6865,5.1112,105.56,-235.22,22.766
3.6587,6.8253,5.2155,-65.645,69.144,236.35
3.4725,6.9469,5.741,275.29,-8.4809,-9.051
3.472,6.9501,5.7205,205.43,0.17601,227.01
3.4504,6.9556,5.9426,88.2,-89.201,53.791
3.6296,6.7902,5.947,32.24,-30.005,-12.65
3.7996,6.8592,5.9318,-78.368,-87.425,115.26
3.8244,6.8092,5.8987,192.54,-163.15,82.431
3.7871,6.8376,5.5695,-192.82,-114.1,110.86
3.8572,6.5679,5.8159,-86.662,38.497,-7.7318
3.8384,6.7042,5.811,160.73,48.889,73.292
3.8023,6.7484,5.8839,-80.196,-100.76,49.258
3.8074,6.6438,5.9167,-27.029,-252.59,13.537
3.8028,6.643,5.9156,96.664,62.598,130.04
3.8124,6.6839,5.9353,17.756,-63.178,447.14
3.8403,6.6669,5.9892,276.93,24.253,-20.871
3.8504,6.6644,5.9846,262.91,-209,-30.51
3.8203,6.62,5.9393,47.24,-140.21,134.35
3.861,6.5905,5.9867,2.7197,-87.338,45.813
3.7779,6.6138,5.9519,-190.91,280.76,252.43
3.7842,6.6072,5.9457,0.87286,95.2,5.484
3.7869,6.6138,6.0006,-70.343,113.4,-108.04
3.7984,6.6043,6.0036,95.054,238.37,108.74
3.7857,6.5959,5.9617,-88.192,-280.47,164.26
3.7731,6.6265,5.9502,-78.506,-230.78,149.68
3.7559,6.5687,5.9354,207.75,-68.162,153.66
3.6968,6.733,5.9595,-6.1165,-179.67,187.92
3.2905,7.4387,5.319,75.903,-163.89,30.105
3.2815,7.0191,5.1815,31.397,-126.72,43.751
3.5769,7.2539,5.1825,118.05,-147.98,40.494
3.541,7.2057,5.2586,115.67,-138.94,66.491
3.76,7.2687,5.0389,72.417,-178.45,39.881
3.2123,7.6548,6.5333,151.09,-102.18,91.355
3.1382,7.8058,6.6403,182.78,-61.69,92.501
3.7351,7.015,7.7463,189.86,-15.339,126.77
3.7665,7.0345,7.9301,138.04,106.71,88.742
3.4303,7.1335,7.7554,102.07,-110.86,91.079
2.7775,7.1363,7.9835,10.986,9.8614,67.307
3.342,6.0121,7.8585,88.513,167.47,43.38
3.3389,6.1462,7.7601,-68.994,-69.327,-115.14
3.4124,6.1296,7.8296,-65.214,115.12,132.95
3.4473,6.4613,7.8233,254.32,-168.13,520.18
3.449,6.3725,7.7896,1.8641,-263.35,-144.91
3.4108,6.7328,7.7936,-113.87,78.384,150.02
3.4764,6.675,7.8697,264.17,-19.595,-142.65
3.4841,6.6408,7.8665,351.29,-113.38,60.505
3.4774,6.5075,7.9801,179.29,-331.81,-234.56
3.4692,6.5656,7.9186,288.58,95.178,45.256
3.4978,6.9663,7.8106,218.72,-145.47,229.23
3.4052,6.8546,7.9893,360.69,-319.65,41.322
3.4872,6.761,7.8792,244.48,179.51,-70.533
3.9,6.8957,7.8566,49.809,-56.139,-78.262
3.854,6.7579,7.8776,137.21,-231.85,465.79
3.7847,6.7907,7.8602,-457.58,-403.4,-45.243
3.7329,6.884,7.8521,77.557,-97.352,-52.082
3.7069,6.8976,7.91,187.71,-160.86,45.294
3.6271,6.8172,7.9,-74.391,239.14,-196.65
3.6945,6.7871,7.9465,26.135,27.648,39.368
3.7198,6.7603,7.9757,4.1691,6.384,-149.7
3.6981,6.8021,7.866,399.17,259.11,-161.34
3.6015,6.7663,7.8822,-451.47,-375.98,174.12
3.5642,6.7827,7.868,-220.74,-244.93,74.361
3.6086,6.8047,7.847,-540.93,-337.39,-74.327
3.5783,6.8072,7.807,263.69,198.11,-9.8646
3.6159,6.8339,7.7572,-329.35,-469.37,51.049
3.5498,6.7577,7.8143,210.95,-258.62,252.18
3.5891,6.803,7.9671,228.14,-228.53,117.59
3.5647,6.7759,7.9022,130.72,-303.94,-160.57
3.5886,6.7839,7.9377,451.93,-564.1,-33.241
3.5466,6.9195,7.9546,133.75,-66.54,-20.427
3.5655,6.8998,7.8838,509.76,-222.96,16.136
3.503,6.9541,7.9967,156,-8.8702,149.73
3.5861,6.9454,7.8819,124.78,-93.914,47.059
3.6297,6.936,7.6215,219.26,-212,128.32
3.5343,6.8791,7.6533,153.44,-11.06,-172.9
3.5216,6.5094,7.6071,54.544,-42.919,-57.186
3.5446,6.5144,7.782,82.93,250.52,-1.6864
3.5356,6.518,7.7691,-122.24,146.98,54.593
3.6029,6.5795,7.7742,76.146,289.51,-68.23
3.5534,6.6243,7.7834,334.16,537.47,-154.81
3.5302,6.5973,7.7896,107.96,223.17,-38.327
3.5774,6.6164,7.8458,269.07,386.95,24.496
3.5959,6.544,7.8763,213.08,80.838,-119.01
3.6105,6.5573,7.8706,131.84,347.78,509.79
3.5968,6.5522,7.8607,-114.6,-29.011,-21.191
3.6109,6.5348,7.8576,576.3,130.83,63.539
3.6169,6.5641,7.9985,159.81,49.38,122.26
3.6118,6.5338,7.8886,151.05,174.26,-197.01
3.6,6.5355,7.8881,-312.53,463.82,154.08
3.5871,6.5437,7.8908,-3.3541,-134.12,20.787
3.5976,6.5471,7.8882,-203.53,-213.36,1.9219
3.5773,6.6087,7.9092,265.35,-175.36,-35.067
3.595,6.5982,7.8825,184.13,-197.61,-17.931
3.5352,6.5849,7.8981,166.73,353.37,165.03
3.5249,6.6673,7.9101,121.38,425.49,-429.34
3.5267,6.6792,7.9838,36.188,392.51,-434.88
3.5764,6.6378,7.9159,64.95,-142.61,73.703
3.5955,6.6972,7.9357,-414.58,-407.67,100.12
3.5457,6.7468,7.9342,46.934,83.483,-77.446
3.5364,6.7078,7.8251,-44.419,-79.053,244.94
3.6122,6.717,7.8615,-473.8,-498.49,-16.098
3.5927,6.7333,7.875,-439.42,-336.29,114.85
3.6126,6.739,7.8769,-267.21,-238.12,182.53
3.6817,6.6509,7.7745,135.98,-163.33,-102.47
3.6306,6.6524,7.8706,-268.32,-465.53,76.211
3.6991,6.6405,7.8328,102.76,16.086,28.416
3.7406,6.7399,7.8958,343.75,135.37,231.18
3.7237,6.7062,7.8873,459.16,-317.42,-241.45
3.6449,6.7319,7.8932,-538.92,-599.27,72.703
3.6209,6.7158,7.8948,-441.23,-232.77,-347.01
3.6911,6.69,7.8948,-361.31,-275.45,-86
3.6946,6.5745,7.9027,-12.195,-191.63,-119.28
3.6963,6.6128,7.9042,-26.127,-307.42,-117.82
3.6623,6.5898,7.9245,412.85,-511.98,382.47
3.6597,6.5763,7.9041,1.5794,244.9,36.918
3.6616,6.544,7.9794,253.27,-366.05,358.48
3.7015,6.5122,7.9217,-147.63,269.36,100.18
3.6573,6.5354,7.8511,181.83,-155.78,103.15
3.6352,6.5642,7.8293,53.761,231.29,-134.45
3.6242,6.5564,7.845,118.78,296.34,10.339
3.6439,6.5567,7.8848,152.74,265.71,409.01
3.6489,6.5789,7.8362,289.69,-33.837,273.92
3.6565,6.6045,7.8265,60.46,-117.52,332.2
3.7368,6.5728,7.8342,-317.82,-141.26,27.286
3.7342,6.627,7.7626,-423.52,-178.15,283.69
3.6383,6.6233,7.8136,375.15,98.366,-163.4
3.6725,6.5416,7.7933,307.86,-174.14,16.823
3.6319,6.5164,7.8093,-637.86,-56.866,-90.912
3.713,6.5325,7.7658,-281.27,-94.988,51.575
3.7063,6.5364,7.7983,218.5,-441.79,-3.0538
3.711,6.543,7.799,86.733,-200.62,116.29
3.8212,6.5365,7.784,-96.113,-274.32,110.76
3.7939,6.5732,7.9539,200.32,126.18,86.731
3.7544,6.6242,7.8939,104.11,-238.31,37.792
3.8356,6.6572,7.8968,-163.16,-266.89,-358.16
3.8446,6.7503,7.9779,40.221,-162.76,-290.59
3.7678,6.6972,7.9206,-406.73,-39.378,63.184
3.8075,6.7256,7.8386,-149.05,-394.81,388.31
3.8057,6.7413,7.8082,-430.97,255.8,-85.838
3.9293,6.6911,7.7962,510.26,159.45,-66.407
3.9118,6.6709,7.8159,374.34,-23.262,-147.96
3.804,6.527,7.7282,-92.046,39.232,412.43
3.8236,6.5554,7.6248,-395.63,-238.52,74.14
3.9199,6.4899,7.864,460.24,-141.37,-38.566
3.7677,6.3384,7.9122,-256.95,57.844,110.87
3.7891,6.4812,7.8778,-66.715,92.092,13.075
3.7262,6.478,7.8019,197.04,295.31,65.72
3.6977,6.4124,7.8326,57.634,-130.52,-74.058
3.6322,6.4098,7.8603,161.73,-167.16,38.348
3.7142,6.4513,7.8324,-98.381,134.11,-31.315
3.7152,6.467,7.8328,-242.78,10.608,435.17
3.6299,6.4897,7.9862,225.38,26.377,-204.24
3.6364,6.4855,7.8867,54.595,191.89,-191.27
3.6782,6.5016,7.9101,-262.42,-190.24,204.35
3.5863,6.35,7.8414,-118.02,105.65,-259.11
3.5207,6.4087,7.962,-40.706,-124.27,309.57
3.604,6.423,7.9202,141.14,207.75,-34.907
3.6036,6.4755,7.8869,-318.71,160.39,-115.32
3.6153,6.4975,7.9001,-87.949,185.49,-76.983
3.5278,6.4474,7.8565,216.02,174.75,108.09
3.5368,6.4779,7.8741,-80.946,-230.33,85.811
3.5947,6.4054,7.7818,455.35,-42.572,-214.61
3.5254,6.4863,7.7725,184.93,59.421,76.707
3.6825,6.431,7.6041,141.57,35.992,-171.03
3.6624,6.4986,7.6447,-52.975,100.51,-105.88
3.7136,6.4255,7.6928,-9.5888,-154.14,254.19
3.5341,6.2433,7.853,83.517,188.78,251.69
3.655,6.2554,7.9061,33.098,225.37,199.46
3.9168,6.4254,7.2738,19.22,-23.788,72.964
3.6085,6.6822,6.3267,-7.8034,-12.448,96.115
3.8146,6.8588,6.3105,-131.47,33.19,37.697
3.8081,6.8808,6.3362,-0.40181,-72.627,97.125
3.809,6.576,6.0192,-214.74,-231.3,-90.41
3.8313,6.6076,6.0154,180.87,217.92,262.86
3.8038,6.5793,6.017,-256.47,-158.9,123.03
3.6444,5.1412,6.9404,-38.208,57.893,62.837
3.5335,5.3248,6.6495,-52.721,0.7444,65.333
3.7385,5.9745,6.6708,-52.992,92.007,92.543
3.8717,5.5406,7.1412,-118.85,127.67,84.333
3.8878,5.5553,7.1751,-18.718,94.358,10.141
3.3238,5.9609,7.8744,106.65,196.25,60.875
3.0865,5.8141,7.2108,224.15,87.976,128.63
2.8365,5.3434,7.615,177.86,115.82,43.351
2.8268,5.3581,7.443,171.96,94.725,70.805
2.8442,4.6753,6.5439,147.06,45.966,62.173
3.9201,4.5706,6.774,-80.733,35.382,-27.954
3.9817,4.9109,5.825,-21.039,-37.77,44.248
3.9756,5.3896,4.7606,-5.5076,-48.553,63.886
3.4391,5.6301,5.195,155.8,31.472,63.579
2.6498,5.2945,5.1442,167.1,12.508,49.742
1.5358,4.0069,7.4066,138.43,-0.017455,64.962
0.68813,5.0625,7.7236,132.36,11.317,62.066
0.34884,6.9911,6.2186,112.45,25.097,47.343
0.30458,6.9915,3.9478,101.08,23.157,31.724
2.8513,4.5684,2.9369,169.53,-35.211,-16.989
3.9717,5.3596,2.9027,-25.316,96.057,-66.165
3.9832,5.3622,2.9035,65.434,-201.36,43.543
3.7721,4.7989,2.5453,158.37,-45.215,-32.843
3.897,5.0733,3.5962,-53.564,-79.29,6.8488
3.3311,6.4888,3.4027,182.12,-20.266,17.308
3.2243,6.4714,3.3857,116.37,3.7566,36.433
3.746,7.3627,2.0172,110.09,-105.18,-11.095
3.3956,6.1474,1.1856,187.09,-38.809,-62.353
3.9799,6.6973,1.2902,-18.151,-137.8,-47.864
3.6924,7.2223,1.942,97.286,-178.75,-126.18
3.713,7.1774,1.9804,-5.172,-174.93,-77.802
3.6953,7.214,1.9377,-23.036,54.825,100.08
3.4998,7.2316,1.707,9.401,-93.999,-37.068
3.6244,7.2876,1.6507,97.819,-74.537,-66.775
3.6095,7.3281,1.0156,-13.277,-113.93,-9.5914
3.6892,7.3773,1.0429,53.952,-169.06,-19.247
3.5572,7.3618,1.1965,159.63,-33.515,-47.766
3.0665,7.5749,0.018887,140.69,-60.247,-0.44364
3.1918,7.901,0.49082,103.91,-86.52,-14.784
3.0067,7.6836,0.5081,114.32,-62.284,18.48
3.0307,7.8207,0.63419,105.55,-74.472,-66.428
3.5873,4.1494,0.73353,221.82,-76.145,-105.56
1.1381,6.5382,1.838,129.94,-2.4357,-12.392
0.86052,9.6875,1.6237,102.53,40.882,36.275
1.2205,8.2895,0.13926,123.5,10.212,-29.317
2.8283,8.1775,1.2681,50.7,-85.842,-5.2045
2.3364,8.6007,1.9688,124.55,35.222,-5.6877
2.3037,8.7337,1.563,47.614,-68.279,21
2.2217,8.6604,1.5486,96.004,-1.9302,12.388
2.1946,8.9735,1.3855,132.15,-9.4966,32.798
2.6239,8.6376,2.2825,69.181,-16.291,21.821
2.6393,8.586,2.4422,16.739,-61.434,-15.746
2.2951,9.1783,2.1751,79.044,-1.0895,9.3335
1.3402,9.4682,2.2447,59.649,-6.9395,61.714
1.437,9.4229,2.8549,22.71,26.511,33.499
1.5189,9.5907,2.8599,48.593,-7.4621,38.866
0.99455,9.3127,2.5321,113.84,72.335,28.636
0.85502,9.9093,3.4569,41.2,27.782,69.183
1.3917,9.7431,3.8897,29.881,-14.489,38.207
1.4699,9.6091,3.9428,16.002,27.764,57.307
0.69322,10.041,3.6671,50.47,21.933,37.011
0.44635,10.9,3.2208,24.914,52.447,58.829
0.42439,10.732,3.1173,69.29,84.993,37.71
0.20457,10.692,2.893,43.938,22.534,35.919
0.24405,10.719,2.921,100.69,66.224,175.99
0.26253,10.759,2.8393,92.697,45.685,71.594
1.1594,10.121,2.6766,36.435,23.723,42.512
1.0966,10.031,2.7228,113.5,50.546,79.92
1.1064,11.452,3.8203,25.232,0.27209,27.89
1.1949,11.416,3.8817,-15.785,15.829,27.204
1.3932,11.123,3.695,5.997,19.19,74.184
2.3055,11.399,3.8425,6.0215,36.242,21.394
2.4627,11.183,3.9005,-14.698,45.106,41.016
2.4325,11.127,3.8846,38.06,-73.916,-50.156
2.4404,11.121,3.8538,-31.253,40.108,68.323
2.5796,11.044,3.2934,11.421,1.2601,50.691
2.8868,10.704,3.7609,-39.769,6.5023,35.99
2.462,10.936,3.0028,-7.2619,10.824,69.286
3.4796,10.531,1.8956,-7.7913,-15.708,-2.0097
3.1431,10.604,1.2398,64.22,-27.683,-13.933
3.3017,10.515,1.0736,38.383,-18.61,10.806
3.2325,10.492,1.0269,-51.418,-14.834,6.1703
3.2302,10.342,0.31013,4.7874,-22.467,-2.1195
3.4089,10.337,0.31043,9.1304,-32.422,22.268
1.6675,10.798,1.6798,32.542,-4.1645,31.958
0.52046,11.23,1.9255,28.955,7.4021,51.883
1.4819,13.702,1.1047,30.355,70.217,-6.0623
0.63887,13.371,0.74581,96.937,54.606,-51.99
0.7337,13.362,0.6683,98.985,-0.018116,-35.112
0.75696,13.341,0.65695,-24.944,98.149,48.137
1.8727,15.92,0.024916,131.75,47.643,-83.296
1.5549,14.887,0.71476,100.74,53.802,-23.987
1.2616,14.014,0.70815,56.388,46.365,-12.967
2.6861,15.806,0.79549,69.191,131.53,-25.304
2.2024,15.244,0.67914,73.979,105.22,-22.278
3.5203,13.511,0.37586,-7.8662,76.341,10.129
2.6413,13.322,1.3321,36.024,63.849,7.6801
3.6599,13.24,1.9749,0.64352,63.332,3.5017
3.7047,13.377,1.0338,-7.2693,69.788,2.9173
3.2007,13.202,1.1575,17.992,68.132,5.3795
2.2677,12.3,3.8352,16.418,49.304,66.809
2.3298,12.284,3.8727,40.742,-13.044,-5.2811
2.3349,12.397,3.8605,-10.017,2.7642,9.6837
2.0499,12.319,3.7418,-7.9747,17.32,4.9165
2.4447,12.774,3.0178,12.73,22.659,94.789
2.5375,12.751,3.0478,-1.8198,47.205,2.9681
3.3515,13.029,3.6211,-14.589,46.258,26.171
3.0098,15.787,3.3175,191.95,105.52,59.444
3.0304,15.783,3.3196,15.462,95.805,-73.704
3.0795,15.803,3.3363,6.2313,-11.288,-21.534
2.4197,15.12,2.4696,43.794,105.5,29.649
2.8198,15.704,2.4825,126.75,76.201,13.12
2.9955,15.411,2.0633,28.011,131.24,7.8783
2.4836,15.216,3.1422,98.093,38.07,28.139
2.4242,15.388,3.0492,30.344,25.088,-52.583
2.4456,14.883,3.5676,-14.423,96.28,25.735
2.5589,14.617,3.8283,-12.725,89.816,-18.128
1.5008,14.919,3.5942,134.23,13.066,84.576
1.5725,14.892,3.7282,-33.76,-3.4942,-62.764
1.5997,14.84,3.6551,-91.687,54.177,-8.8506
1.7476,14.599,3.9291,107.89,35.858,-10.339
1.8017,15.112,3.8274,-4.8146,-11.388,-101.81
1.831,15.014,3.8544,8.3164,183.44,-54.479
1.8696,15.075,3.8441,-27.118,-50.481,70.952
1.8088,15.042,3.777,127.86,8.3207,6.8276
1.7926,15.036,3.7947,97.789,-37.068,0.004214
1.7138,15.104,3.793,35.882,98.065,24.89
1.6128,15.521,3.6965,87.157,-61.687,-10.975
1.1617,15.991,3.1117,115.92,-64.66,2.7048
1.5238,15.26,3.1228,119.17,-12.333,60.97
1.7891,15.141,3.2352,79.034,50.479,74.845
1.4103,15.942,2.9091,110.34,-10.058,38.911
1.9019,14.733,2.9841,50.169,92.058,56.438
0.94965,15.753,3.3813,108.67,-29.75,14.597
1.4811,13.044,3.4818,20.912,39.656,62.431
0.064892,12.798,4.3533,-8.4838,38.089,120.74
0.11922,12.976,4.5959,50.255,3.9438,111
0.3049,13.813,4.9623,-53.824,-4.482,76.786
0.5732,13.579,4.362,28.319,20.115,106.01
0.64069,13.916,4.0515,20.091,34.393,113.51
0.38845,13.291,4.3042,-36.738,61.56,93.327
0.32044,13.34,4.3362,-36.04,60.571,22.619
0.47916,14.396,4.3652,17.166,-93.33,67.985
0.43451,14.381,4.366,124.9,26.12,133.01
0.9925,14.469,4.1304,62.826,21.866,90.594
0.5296,14.494,4.8202,-42.904,33.108,75.31
0.35583,15.872,4.4187,61.502,-77.209,25.348
0.6363,15.178,5.0354,18.59,-79.935,15.057
0.025562,14.823,5.8801,-33.509,-113.47,15.665
0.84266,14.657,5.1828,-60.953,-2.426,-0.98491
0.80743,14.481,5.3263,-25.351,-55.933,-30.688
0.6221,14.535,5.7202,-83.477,30.917,-19.674
1.8535,14.874,4.012,58.836,73.652,38.281
1.2354,14.58,4.8273,-46.973,-0.26423,-23.782
3.3026,14.131,5.4097,14.808,51.32,-26.003
3.8327,15.927,5.9208,48.856,54.826,-47.61
3.3562,15.081,5.0375,27.73,55.038,-41.013
3.3198,14.204,4.1662,13.739,65.969,-18.82
3.2725,12.333,4.3086,-4.5335,23.23,-7.8615
2.4897,12.258,4.0945,-34.969,19.274,-21.96
3.8995,12.336,5.0793,1.4245,29.6,-21.693
3.8214,13.585,6.8839,-3.0531,30.327,-4.0431
2.914,13.632,6.941,-1.4818,30.198,0.5953
3.8324,15.89,7.2943,39.811,47.237,-20.413
2.9507,14.513,6.3544,5.5362,27.952,-20.732
2.9681,14.064,7.4686,-1.8699,13.424,-12.652
0.71842,14.385,6.6339,-87.28,-19.437,-3.0462
0.61593,14.594,7.0789,-83.602,-32.833,-30.446
0.66388,13.179,7.8964,-67.516,24.639,-0.45045
1.1362,11.319,7.8154,6.711,10.634,36.529
1.2559,11.057,6.8983,6.6428,9.3099,34.088
1.7536,11.933,6.355,-13.681,8.0316,15.312
0.95096,8.2894,7.7211,135.14,25.423,68.554
0.5441,9.652,6.9005,98.003,54.265,45.699
0.30238,9.955,6.5841,31.606,11.728,33.03
0.45753,9.5288,6.9502,58.008,31.605,27.137
1.5874,9.3079,5.3579,95.617,24.446,3.934
1.4427,9.5683,4.4767,95.509,19.055,-22.555
1.4437,9.6141,4.1262,70.328,47.373,66.698
1.8695,9.3933,4.0094,84.053,80.21,52.66
1.915,9.4128,4.4834,51.873,20,9.1586
1.5255,9.5024,4.3501,32.19,30.127,-12.075
1.8343,8.718,4.7618,58.002,-22.327,33.036
0.32664,9.9896,4.2039,60.796,24.67,10.544
0.39056,10.054,4.2644,86.754,13.23,34.397
0.4254,10.087,4.2882,20.933,171.31,-5.374
1.0879,11.109,4.449,-7.1805,14.066,-16.261
1.4499,10.062,4.4404,70.283,23.129,-3.5308
1.2342,10.268,4.0943,67.274,43.676,38.703
2.6666,10.711,4.5704,6.2853,-9.8879,-6.9494
2.841,10.695,4.5637,12.474,7.947,-11.975
3.4851,11.737,5.7259,9.8069,-3.0202,-7.9508
3.3881,11.097,4.8594,-9.7726,2.8022,-5.9712
3.2978,11.058,4.7455,-38.545,-6.0091,28.416
3.0804,8.1383,4.1346,119.8,5.0035,69.128
2.7562,8.594,4.0461,22.075,-49.264,35.73
2.7708,8.4774,4.1201,85.829,-62.254,85.003
2.5022,8.3578,4.5864,91.464,-45.021,30.271
2.639,8.3876,4.9837,61.311,-53.69,38.207
2.6765,8.7074,5.1285,141.09,-5.2355,25.394
2.8574,8.2983,5.4,128.08,-0.91701,44.715
2.8649,9.9934,6.5244,1.3431,-56.612,35.302
2.678,9.7087,6.7185,41.442,-49.175,33.326
2.6919,9.6451,8.0051,22.22,-59.547,57.105
3.5474,9.9558,7.8806,-11.631,-60.886,43.286
3.7277,10.623,6.1225,-7.6063,-28.752,15.57
2.9443,11.13,7.906,1.7271,-38.066,43.639
3.674,11.195,7.7437,-11.82,-37.394,37.288
5.111,11.493,7.6896,0.89939,-24.093,34.953
4.6606,8.0715,7.723,-102.52,-112.48,70.144
5.4681,8.6976,7.7011,-56.878,-53.975,45.944
5.151,8.8556,7.2065,-28.1,-84.301,54.001
5.2263,8.8708,7.2316,-84.873,-59.755,79.947
5.8741,8.6701,7.6449,-112.46,-42.921,72.213
5.7269,9.653,7.9554,-72.075,-35.563,6.9205
5.2685,9.6832,7.7553,10.437,-76.83,44.898
5.34,9.0789,7.9764,-36.333,4.5793,62.65
5.4003,9.1407,7.9548,-79.709,5.7813,-52.153
5.4106,9.1511,7.9277,-26.88,-169.24,-18.376
5.5449,9.6895,6.913,-56.127,-94.922,51.794
5.6377,9.5501,6.9206,-38.797,-32.698,59.433
5.113,9.9412,6.3075,-6.2587,-57.083,31.946
5.1071,8.3591,6.8823,-37.676,-78.001,71.035
4.7916,8.4761,5.6137,-30.111,-46.634,40.604
4.9169,8.9612,5.5406,-39.618,-38.337,34.746
5.0161,8.3971,5.6329,-46.443,-61.742,33.302
5.1565,9.004,5.3875,-94.834,-52.479,34.374
5.1127,8.9113,5.4813,-71.13,-91.826,37.282
5.1665,8.3492,4.3383,-109.98,-17.995,21.964
4.7877,8.0919,4.3755,-62.901,-60.943,30.981
4.8631,10.635,5.0093,-4.8977,7.9637,32.045
4.8703,10.746,5.1014,-8.4068,-41.828,9.4876
5.7596,10.411,4.8509,-17.451,-15.781,0.22922
6.3953,10.999,4.5097,4.3499,22.693,-2.6342
6.3663,11.219,4.2179,-17.034,2.9256,-10.909
7.7415,11.558,5.9362,-24.652,37.985,-15.952
7.472,10.525,4.5313,-25.13,33.973,-20.002
6.6519,9.7689,5.0196,-60.516,19.255,3.7277
7.6941,8.8726,5.6831,-68.636,21.308,26.617
7.0017,8.9419,6.9818,-96.435,-13.663,48.483
6.7033,9.9474,6.9897,-71.613,-6.6337,50.794
6.0041,9.8713,7.9859,-15.724,1.5234,11.717
7.7465,8.0636,7.8655,-80.793,-6.4122,1.3822
7.6665,8.0277,7.9831,-121.13,-21.648,32.397
7.9744,8.063,7.7879,-156.31,5.8788,41.732
7.4241,10.225,7.825,-121.75,7.2381,17.962
